,1. open,2. high,3. low,4. close,5. volume
2005-05-06,1156.8500,1178.6200,1154.7100,1171.3500,10157840000
2005-05-13,1171.3500,1178.8700,1146.1801,1154.0500,9765530000
2005-05-20,1154.0500,1191.2200,1153.6400,1189.2800,9418050000
2005-05-27,1189.2800,1199.5601,1185.9600,1198.7800,8139890000
2005-06-03,1198.7800,1205.6400,1191.0300,1196.0200,7092090000
2005-06-10,1196.0200,1208.8500,1191.0900,1198.1100,8602280000
2005-06-17,1198.1100,1219.5500,1194.5100,1216.9600,9383350000
2005-06-24,1216.9600,1219.5900,1191.4500,1191.5699,9707200000
2005-07-01,1191.5699,1204.0699,1188.3000,1194.4399,8983620000
2005-07-08,1194.4399,1212.7300,1183.5500,1211.8600,7542540000
2005-07-15,1211.8600,1233.1600,1211.8600,1227.9200,9355920000
2005-07-22,1227.9200,1236.5601,1221.1300,1233.6801,9583550000
2005-07-29,1233.6801,1245.1500,1228.1500,1234.1801,9388840000
2005-08-05,1234.1801,1245.8600,1225.6200,1226.4200,9671470000
2005-08-12,1226.4200,1242.6899,1222.6700,1230.3900,9524840000
2005-08-19,1230.4000,1236.2400,1215.9301,1219.7100,8609400000
2005-08-26,1219.7100,1228.9600,1204.2300,1205.1000,8342950000
2005-09-02,1205.1000,1227.2900,1201.0699,1218.0200,9751450000
2005-09-09,1218.0200,1243.1300,1218.0200,1241.4800,7947730000
2005-09-16,1241.4800,1242.6000,1224.8500,1237.9100,11238970000
2005-09-23,1237.9100,1237.9100,1205.3500,1215.2900,11341680000
2005-09-30,1215.2900,1229.5699,1211.1100,1228.8101,10379110000
2005-10-07,1228.8101,1233.3400,1181.9200,1195.9000,11903800000
2005-10-14,1195.9000,1196.5200,1168.2000,1186.5699,11526400000
2005-10-21,1186.5699,1197.3000,1170.5500,1179.5900,12043340000
2005-10-28,1179.5900,1204.0100,1178.8900,1198.4100,11752780000
2005-11-04,1198.4100,1224.7000,1198.4100,1220.1400,12440550000
2005-11-11,1220.1400,1235.7000,1215.0500,1234.7200,10318690000
2005-11-18,1234.7200,1249.5800,1226.4100,1248.2700,11132060000
2005-11-25,1248.2700,1270.6400,1246.9000,1268.2500,7119110000
2005-12-02,1268.2500,1268.4399,1249.3900,1265.0800,11400340000
2005-12-09,1265.0800,1272.8900,1250.9100,1259.3700,10605000000
2005-12-16,1259.3700,1275.8000,1255.5200,1267.3199,11176870000
2005-12-23,1267.3199,1270.5100,1257.2100,1268.6600,9444980000
2005-12-30,1268.6600,1271.8300,1246.5900,1248.2900,5788870000
2006-01-06,1248.2900,1286.0900,1245.7400,1285.4500,9949800000
2006-01-13,1285.4500,1294.9000,1282.7800,1287.6100,11605560000
2006-01-20,1287.6100,1287.7900,1260.9200,1261.4900,9703000000
2006-01-27,1261.4900,1286.3800,1259.4200,1283.7200,12962250000
2006-02-03,1283.7200,1287.9399,1261.0200,1264.0300,12427960000
2006-02-10,1264.0300,1274.5601,1253.6100,1266.9900,11687560000
2006-02-17,1266.9900,1289.4700,1258.3400,1287.2400,10985360000
2006-02-24,1287.2400,1294.1700,1281.3300,1289.4301,8403920000
2006-03-03,1289.4301,1297.5699,1278.6600,1287.2300,11302040000
2006-03-10,1287.2300,1288.2300,1268.4200,1281.4200,11254670000
2006-03-17,1281.5800,1310.4500,1281.5800,1307.2500,11370400000
2006-03-24,1307.2500,1310.8800,1295.8101,1302.9500,10471020000
2006-03-31,1302.9500,1310.1500,1291.8400,1294.8700,10853090000
2006-04-07,1302.8800,1314.0699,1294.1801,1295.5000,11425910000
2006-04-13,1295.5100,1300.7400,1282.9600,1289.1200,7961240000
2006-04-21,1289.1200,1318.1600,1280.7400,1311.2800,11742950000
2006-04-28,1311.2800,1316.0400,1295.5699,1310.6100,12178330000
2006-05-05,1310.6100,1326.5300,1303.4600,1325.7600,11961950000
2006-05-12,1325.7600,1326.7000,1290.3800,1291.2400,11676630000
2006-05-19,1291.1899,1297.8800,1256.2800,1267.0300,13241860000
2006-05-26,1267.0300,1280.5400,1245.3400,1280.1600,12564040000
2006-06-02,1280.0400,1290.6801,1259.3800,1288.2200,9524050000
2006-06-09,1288.1600,1288.1600,1235.1801,1252.3000,13413080000
2006-06-16,1252.2700,1258.6400,1219.2900,1251.5400,13689640000
2006-06-23,1251.5400,1257.9600,1237.1700,1244.5000,11276830000
2006-06-30,1244.5000,1276.3000,1237.5900,1270.2000,11838010000
2006-07-07,1270.0601,1280.3800,1263.1300,1265.4800,7276850000
2006-07-14,1265.4600,1274.0601,1228.4500,1236.2000,11428770000
2006-07-21,1236.2000,1262.5601,1224.5400,1240.2900,12379810000
2006-07-28,1240.2500,1280.4200,1240.2500,1278.5500,12801490000
2006-08-04,1278.5300,1292.9200,1265.7100,1279.3600,12859150000
2006-08-11,1279.3101,1283.7400,1261.3000,1266.7400,11465410000
2006-08-18,1266.6700,1302.3000,1266.6700,1302.3000,11498940000
2006-08-25,1302.3000,1302.4900,1289.8199,1295.0900,9159550000
2006-09-01,1295.0900,1312.0300,1293.9700,1311.0100,9764390000
2006-09-08,1310.9399,1314.6700,1292.1300,1298.9200,8903090000
2006-09-15,1298.8600,1324.6500,1290.9301,1319.6600,13444480000
2006-09-22,1319.8500,1328.5300,1310.9399,1314.7800,12049320000
2006-09-29,1314.7800,1340.2800,1311.5800,1335.8500,12804030000
2006-10-06,1335.8199,1353.7900,1327.1000,1349.5900,13197290000
2006-10-13,1349.5800,1366.6300,1343.5699,1365.6200,11829580000
2006-10-20,1365.6100,1372.8700,1356.8700,1368.6000,12630620000
2006-10-27,1368.5800,1389.4500,1363.9399,1377.3400,13562660000
2006-11-03,1377.3000,1381.9500,1360.9800,1364.3000,13460540000
2006-11-10,1364.2700,1388.9200,1364.2700,1380.9000,13287010000
2006-11-17,1380.5800,1403.7600,1378.8000,1401.2000,13806780000
2006-11-24,1401.1700,1407.8900,1397.8500,1400.9500,8214910000
2006-12-01,1400.9500,1406.3000,1377.8300,1396.7100,14949140000
2006-12-08,1396.6700,1418.2700,1396.6700,1409.8400,13430910000
2006-12-15,1409.8101,1431.6300,1404.7500,1427.0900,13539610000
2006-12-22,1427.0800,1431.8101,1410.2800,1410.7600,11642830000
2006-12-29,1410.7500,1427.7200,1410.4500,1418.3000,6164450000
2007-01-05,1418.0300,1429.4200,1405.7500,1409.7100,9353020000
2007-01-12,1409.2600,1431.2300,1403.9700,1430.7300,14110730000
2007-01-19,1430.7300,1435.2700,1424.2100,1430.5000,10889710000
2007-01-26,1430.4700,1440.6899,1416.9600,1422.1801,13919320000
2007-02-02,1422.0300,1449.3300,1418.4600,1448.3900,13897760000
2007-02-09,1448.3300,1452.9900,1433.4399,1438.0601,13434950000
2007-02-16,1438.0000,1457.9700,1431.4399,1455.5400,12637490000
2007-02-23,1455.5300,1461.5699,1448.3600,1451.1899,9475560000
2007-03-02,1451.0400,1456.9500,1380.8700,1387.1700,17999820000
2007-03-09,1387.1100,1410.1500,1373.9700,1402.8400,15617930000
2007-03-16,1402.8000,1409.3400,1363.9800,1386.9500,16123460000
2007-03-23,1386.9500,1438.8900,1386.9500,1436.1100,14506880000
2007-03-30,1436.1100,1437.6500,1408.9000,1420.8600,14186810000
2007-04-05,1420.8300,1444.8800,1416.3700,1443.7600,10771190000
2007-04-13,1443.7700,1453.1100,1433.9100,1452.8500,13270300000
2007-04-20,1452.8400,1484.7400,1452.8400,1484.3500,15005590000
2007-04-27,1484.3300,1498.0200,1473.7400,1494.0699,14891970000
2007-05-04,1494.0699,1510.3400,1476.7000,1505.6200,15453470000
2007-05-11,1505.5699,1513.8000,1491.4200,1505.8500,14028380000
2007-05-18,1505.7600,1522.7500,1498.3400,1522.7500,14590190000
2007-05-25,1522.7500,1532.4301,1505.1801,1515.7300,15091900000
2007-06-01,1515.5500,1540.5601,1510.0601,1536.3400,11814550000
2007-06-08,1536.2800,1540.5300,1487.4100,1507.6700,15174500000
